Frequency (Hz),Trace 1 (dBV),Phase (deg),Trace 2 (dBV),Phase (deg)
0,2.609371194682006,0,2.587353189633,0
2.44140625,-73.11663095121791,161.0133099269887,-78.75100105507806,27.92803585179476
4.8828125,-73.07757751658512,176.4058300707316,-68.93107397586193,118.6658800758555
7.32421875,-74.84896175470948,156.5709125542973,-75.20717782862,67.02073686468897
9.765625,-70.65503024606465,177.0110201481043,-66.84721987222812,179.8965802531592
12.20703125,-72.74057578405441,7.092773788325719,-78.61284256414989,53.34483754741228
14.6484375,-71.01171393449039,174.6652476907595,-68.67131521331005,7.429284433916399
17.08984375,-72.58519798858573,6.603337884537924,-72.1875201066145,24.93964503979612
19.53125,-72.00314349935435,4.554845688338323,-68.53304078330395,11.71311616597917
21.97265625,-72.83699345305332,0.9624964700450955,-65.75119987099869,49.63483282214333
24.4140625,-72.45173986240582,162.7161608482806,-65.68266164345046,100.0627518772085
26.85546875,-74.37445081114888,5.328222397128386,-68.29264204913773,179.7523194255597
29.296875,-72.54282722371892,2.591909211620144,-73.44344727568668,94.35091340190709
31.73828125,-72.94019065559043,8.436512612800668,-64.75916649775226,174.8001625226154
34.1796875,-71.79593924607016,0.7777894532934037,-74.58057840122792,148.7845265649074
36.62109375,-71.5135504155933,8.020093164833161,-65.39009517561523,64.36461710670439
39.0625,-74.03740271803957,174.2316510983302,-75.25357119270947,1.969049417166244
41.50390625,-71.31910164594997,1.039654878060836,-64.89331986851556,14.53521940703725
43.9453125,-75.61013341259471,173.5929458402031,-68.48159803610736,178.8910708721579
46.38671875,-73.03613925520327,1.725640096763515,-70.91338736187284,86.21113157072062
48.828125,-72.44200912881605,13.25705787708865,-67.17356033418977,137.7151971226733
51.26953125,-72.92562334695394,179.0132567388478,-69.11557624922649,57.83367078254153
53.7109375,-74.35393040834118,5.446784447455665,-69.29020326372122,102.7758423216631
56.15234375,-71.67024590827866,4.31751994339607,-65.34812283151238,39.97915758873564
58.59375,-73.58318208325716,9.880165542019835,-67.38170384885255,120.3798511868266
61.03515625,-73.85026221747378,4.79664625606623,-66.32788426016131,166.4994827388777
63.4765625,-73.26930416585765,178.1491265472445,-78.55698552395174,114.55404674063
65.91796875,-71.20164340785567,16.78047503044612,-70.32505107373545,54.12253874351066
68.359375,-74.20031958095917,16.58328998060463,-62.43442853245551,169.675461137937
70.80078125,-72.06361437553059,167.0632362666053,-62.06707789182435,130.7302999596715
73.2421875,-72.72118837507493,3.897976059370827,-65.39207007574952,46.93286681196424
75.68359375,-73.14790699499865,175.3436999815704,-67.01173300344345,29.82835335123713
78.125,-71.96140258668888,5.32100523139681,-47.47605242337905,3.422731633734248
80.56640625,-72.88180155007508,172.3393495556221,-52.27055571587201,122.4823121704557
83.0078125,-72.93886877064742,169.9082836840365,-33.76903533247999,76.34670922662758
85.44921875,-72.8072599920955,7.612027249227354,-60.60473767444999,6.335093661658219
87.890625,-72.68375209172468,176.3147138931669,-47.70132654894343,145.4134681257875
90.33203125,-72.44419085420789,10.15397944587869,-53.87135412269523,103.428249455329
92.7734375,-74.92737247585515,0.247384554442318,-59.39568621309391,33.33971241699197
95.21484375,-71.84785712776886,5.539243258564866,-59.74817024637847,35.39000688809808
97.65625,-74.62989319931404,178.8916450911579,-68.68896141189737,152.0908576597514
100.09765625,-72.09304025629133,178.4418790775444,-63.01874654580558,76.39887726396096
102.5390625,-75.02223035926268,4.650103114577477,-59.73919607001308,49.7876666525904
104.98046875,-72.44901657769054,1.0035201082128,-65.62209723704763,16.78401662258174
107.421875,-73.5766723887694,4.292875955001398,-64.78891976456899,1.835433146119242
109.86328125,-73.53617313322164,6.143486160361704,-69.25791747802866,64.49298748449097
112.3046875,-72.54186332204858,168.337576548752,-60.60333357409909,35.22710842451668
114.74609375,-73.13631224122042,10.21218106546148,-61.58721616648342,177.0538815074268
117.1875,-73.31493435294885,169.9357876697757,-61.70749529978587,41.97485505818506
119.62890625,-72.69991191695101,6.759259358709586,-65.24150130642282,39.28289001506111
122.0703125,-73.83056893189045,179.5003370671502,-74.13103702953475,113.8193816441698
124.51171875,-70.77480449617366,4.691161890955208,-77.29142959207374,36.93173701042361
126.953125,-73.80284320500512,176.2598046529609,-70.61620902721191,8.891735822626158
129.39453125,-73.10769510336483,11.09719281276752,-65.38111733704754,33.29628989899025
131.8359375,-74.08151017727539,179.2348598113642,-68.68187187192986,118.1888241846634
134.27734375,-72.67109312591157,174.4514334387342,-65.13602957836555,175.4451634497746
136.71875,-72.72701096635716,3.062048188283617,-65.05495430922554,23.51743308289276
139.16015625,-71.79560132737105,169.6728870883531,-70.83967607151757,72.9891506442364
141.6015625,-70.3067753449541,7.566186722725051,-71.22431810846244,163.8438420046813
144.04296875,-72.93205634731068,12.24128960567432,-67.78289454806087,179.9100986831344
146.484375,-74.20265487976931,166.2207420582874,-88.06603168605045,136.7070188832365
148.92578125,-73.28464448258187,1.235944215913621,-70.19957701310878,44.76231014012284
151.3671875,-73.30931436110164,171.8074295651495,-69.55109394063257,67.42541118388579
153.80859375,-73.16110066802084,17.71951173558008,-67.22879024855703,65.14728843264103
156.25,-72.21648911299384,176.5025000898472,-74.2463495960378,134.5097255259741
158.69140625,-72.79084309109653,4.723532645137749,-65.67838137162339,149.4609557148966
161.1328125,-75.62946763793084,166.327972960209,-62.44589735240527,99.5106584899314
163.57421875,-72.13156146913812,9.068376060260992,-69.48316925033666,58.83861374164119
166.015625,-75.02333003762934,179.0410542707135,-53.89137006960539,175.1160606517089
168.45703125,-72.66265256001341,12.4734840104875,-70.36717332895167,115.0670430829429
170.8984375,-72.68234255834759,6.692677901004577,-64.25071089558591,122.3304039641205
173.33984375,-71.35146357420707,1.869392028433997,-66.69738780600473,3.106507354479374
175.78125,-74.00325342635709,5.349084928509903,-66.35158427116708,148.8352670577809
178.22265625,-71.87624312592666,9.737614595798851,-73.8107587424013,105.607290700266
180.6640625,-71.39974571281887,170.8525401349578,-69.99092939363722,11.53770719747757
183.10546875,-71.75498955694297,16.98835293765273,-69.53438099437483,45.81275901525405
185.546875,-76.14783634512423,178.196854374156,-75.53712956380249,69.85395609365523
187.98828125,-71.3007289571606,179.9808757299905,-65.43256704202992,28.09902173500677
190.4296875,-74.45314516144978,18.10298024195909,-71.94045616060691,18.55555654528962
192.87109375,-73.87559879458099,178.8231446370731,-69.640084847418,4.546657674643826
195.3125,-74.88378268247095,175.3483588095811,-64.17664561392894,165.179856045359
197.75390625,-73.22774379469335,177.6665014737438,-74.34014644588744,116.6603693342446
200.1953125,-74.44094674485846,6.371927430921167,-71.96533897365768,153.6173904142651
202.63671875,-72.00604592701593,3.921797115479006,-70.14685397886461,147.3145404228411
205.078125,-72.06689646698774,0.5500283192306211,-67.35745830054869,125.6844569074494
207.51953125,-73.49618745548092,179.2534165565986,-69.43278351416797,175.078195873397
209.9609375,-73.52913569259779,11.199587915847,-66.12683598395854,157.4055092813675
212.40234375,-73.68839461948683,10.28955460129642,-70.40379644773867,102.6776983666642
214.84375,-73.81352706985,13.07832319611764,-74.35400998727218,88.98943488757412
217.28515625,-73.57356358923731,10.80628106239104,-73.19313941563591,163.899425215655
219.7265625,-75.68771561153704,176.4611773121605,-62.55936703934543,35.64120829421915
222.16796875,-73.72194990766437,10.89094428253186,-75.66397465082753,137.56481983309
224.609375,-73.38417794757916,177.1347676066686,-68.38253587390824,94.23832330157876
227.05078125,-71.6752127846941,0.1679923696227766,-66.12108794350485,135.8194012018454
229.4921875,-73.44618703820247,176.7218823865701,-73.7519626344221,168.984290290562
231.93359375,-71.9872132813697,169.4171459853935,-69.85305104658906,32.99977963887237
234.375,-74.96508578250368,0.5943206272916878,-73.15405730219433,114.2495245154202
236.81640625,-72.80665391911374,15.1522279611284,-76.86262704591473,144.3009717390227
239.2578125,-73.43577084554961,2.447171256576167,-76.78176431001422,15.08150588961799
241.69921875,-73.12777617567374,179.4013131426932,-73.90439978220387,118.3123584259479
244.140625,-76.5455495702891,27.53585083374482,-61.1136159929294,134.6170624124296
246.58203125,-72.38569286883236,178.3525005667713,-72.13418086748133,161.6853871677294
249.0234375,-71.33440789096431,6.103001993506797,-56.83343454193085,24.20259633590766
251.46484375,-72.73661126737301,2.531879217410402,-70.16541175387891,156.7235899378218
253.90625,-73.4991990086388,23.74072973197284,-63.76451494813563,81.65866400135906
256.34765625,-72.34903035892329,178.4559531921386,-77.59384592758357,83.00495576763254
258.7890625,-73.30847941757695,10.14737662457679,-62.80768372840276,128.9907831511211
261.23046875,-72.83628780003872,177.6098108024792,-70.64887217859804,80.16856417845551
263.671875,-72.42747111727181,179.8941832120581,-66.95273432136388,109.6549900984294
266.11328125,-73.36883545019484,6.189029248395063,-76.60201391818585,84.62506130574596
268.5546875,-72.4297429036245,11.67094375897438,-75.00659164942408,78.19347284406969
270.99609375,-71.06489853714514,1.371476807846944,-66.75061905118361,56.13063613629573
273.4375,-73.17143415896284,7.756040620233433,-69.95882986756344,104.9372178663337
275.87890625,-73.01995331445399,10.20071459061359,-72.3739128255512,14.68968882572191
278.3203125,-72.60992927716488,6.392516933142768,-60.96757657303976,111.9706130523089
280.76171875,-72.93414199752578,5.359589553324776,-63.50466254323791,41.94424893034029
283.203125,-72.92147060425863,17.59188097756848,-63.51022570734855,55.16208594791136
285.64453125,-72.83552185261497,174.2097522683023,-65.50757861609087,42.45052680400428
288.0859375,-73.41295561675253,13.85537304105422,-75.07071378440484,32.44991415250087
290.52734375,-72.6101324963365,174.4525507443684,-62.69077769132249,90.221774477662
292.96875,-73.09254763835222,4.244760541576989,-57.07465487896496,14.29466231029791
